100	21
1000	10000
73	41
30	53
33	51
30	43
29	39
72	105
88	114
72	111
80	116
20	74
11	74
25	78
10	67
27	24
26	29	
29	26	
22	29	
60	69	
65	66	
58	59	
55	57	
40	33	118
23	44	63
39	41	111
23	40	154
23	48	1
21	48	21
23	47	78
20	50	89
35	36	77
22	45	30
24	45	87
20	46	115
24	44	16
23	37	132
25	41	42
31	41	96
32	46	175
40	45	2
24	40	95
38	39	144
75	99	151
87	98	92
87	110	112
80	110	96
76	115	24
86	98	65
84	96	158
79	114	147
85	110	143
72	99	30
85	112	136
84	110	110
73	108	39
77	106	116
73	109	84
78	99	18
78	108	37
72	112	164
80	103	170
89	112	77
17	71	110
26	72	103
20	65	167
10	76	18
15	66	21
8	59	104
20	73	69
20	71	30
8	74	165
21	66	190
24	62	96
11	67	171
13	74	30
12	74	67
6	64	99
24	68	90
21	65	164
19	75	53
15	61	24
15	63	115
26	34	57
13	30	128
27	38	54
27	34	69
29	35	135
22	32	190
31	28	134
23	31	74
30	39	178
15	37	190
26	24	105
32	43	55
27	29	179
30	25	156
17	26	9
29	31	129
20	24	137
32	36	48
20	42	42
26	29	6
61	66	72
72	59	73
55	53	45
63	56	173
74	59	188
56	66	7
56	68	110
56	56	21
70	56	85
67	61	166
67	71	64
57	63	184
59	68	131
71	58	104
71	61	138
73	53	153
56	63	191
66	70	188
56	53	10
68	57	50
